Заголовок,Ссылка на баг-репорт
"При клике по кнопке ""Статус заказа"" появляется кнопка ""Go"" поле ввода ""Номер заказа""","5V-127 Появляется кнопка ""Go"" при клике по кнопке ""Статус заказа"" в шапке лендинга"
"При клике по кнопке заказать в форме ""Про аренду"" появляется окно ""Хотите оформить заказ?""","5V-128 После клика по кнопке ""Заказать"" в форме ""Про аренду"" появляется окно ""Хотите оформить заказ?"""
"Кнопка ""Да"" в окне ""оформить заказ"" - некликабельна","5V-129 Кнопка ""Да"" в окне ""Хотите оформить заказ?"" - некликабельна"
Когда курьер принимает заказ - заказ дублируется в базе данных,"5V-130 Заказ дублируется в базе данных, после того как курьер принимает его"
"В поле ""Когда привезти самокат"" можно ввести значение вручную","5V-131 Можно ввести дату вручную в поле ""Когда привезти самокат"""
"Ошибка в названии кнопки ""Дальше""","5V-134 Кнопка ""Дальше"" в форме ""Для кого самокат"" называется ""Далее"""
