,,,,,,
,,,,,,
№,Описание проверки,"Статус Окружение 1 Google Chrome версии 121.0, 1920x1080","Статус Окружение 2 Яндекс Браузер версии 24.1, 1280x720",Ссылка на баг-репорт,Комментарий,Спасибо за отличное ревью!
63,Названия статусов выровнены по левому краю,PASSED,PASSED,,,
64,Слева от каждого статуса есть кружок с его номером,PASSED,PASSED,,,
65,Кружки с номерами статусов соеденены линиями ,PASSED,PASSED,,,
66,Активным статусом может быть только один статус,PASSED,PASSED,,,
67,"Статус №1 называется ""Самокат на складе""",PASSED,PASSED,,,
68,Статус №1 находится сверху всех статусов,PASSED,PASSED,,,
69,"Статус №1 имеет описание: ""Скоро курьер заберет его""",PASSED,PASSED,,,
70,Статус №1: Название активного статуса черного цвета,PASSED,PASSED,,,
71,Статус №1: Название неактивного статуса серго цвета,PASSED,PASSED,,,
72,Статус №1: Описание активного статуса черного цвета,PASSED,PASSED,,,
73,Статус №1: Описание неактивного статуса серого цвета,PASSED,PASSED,,,
74,Статус №1: Кружок с номером активного статуса выделен черным цветом,PASSED,PASSED,,,
75,Статус №1: Кружок с номером неактивного статуса выделен серым цветом,PASSED,PASSED,,,
76,Статус №1: При активном состоянии линия соеденяющая со статусом №2 - черного цвета,PASSED,PASSED,,,
77,Статус №1: При неактивном состоянии линия соеденяющая со статусом №2 - серого цвета,PASSED,PASSED,,,
78,Статус №1: Названия статусов не имеют орфографических ошибок,PASSED,PASSED,,,
79,Статус №1: Описания статусов не имеют орфографических ошибок,PASSED,PASSED,,,
80,Статус №1: После завершения статуса кружок с номером меняется на кружок с галочкой,PASSED,PASSED,,,
81,"Статус №1 становится активным, когда пользователь сделал заказ",PASSED,PASSED,,,
82,"Статус №2 в неактивном состоянии называется ""Курьер едет к вам""",PASSED,PASSED,,,
83,"Статус №2 в активном состоянии называется ""Курьер 'Имя' едет к вам""",PASSED,PASSED,,,
84,Статус №2 находится под статусом №1,PASSED,PASSED,,,
85,"Статус №2 имеет описание: ""Номер для связи: 0101""",PASSED,PASSED,,,
86,Статус №2: Название активного статуса черного цвета,PASSED,PASSED,,,
87,Статус №2: Название неактивного статуса серго цвета,PASSED,PASSED,,,
88,Статус №2: Описание активного статуса черного цвета,PASSED,PASSED,,,
89,Статус №2: Описание неактивного статуса серого цвета,PASSED,PASSED,,,
90,Статус №2: Кружок с номером активного статуса выделен черным цветом,PASSED,PASSED,,,
91,Статус №2: Кружок с номером неактивного статуса выделен серым цветом,PASSED,PASSED,,,
92,Статус №2: При активном состоянии линия соеденяющая со статусом №3 - черного цвета,PASSED,PASSED,,,
